,XMLNZEUR,GNOEUR,NANOEUR,SCEUR,LSKEUR,MKREUR,GHSTEUR,PERPEUR,LRCEUR,MOVREUR,SDNEUR
1630796678.136699,94.541000,258.240000,5.693514,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.88900
1630796709.4767,94.541000,258.240000,5.693514,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796740.8726947,94.541000,258.240000,5.690000,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796772.3086824,94.541000,258.240000,5.690001,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796803.6842167,94.541000,258.240000,5.690001,0.019100,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796835.0381215,94.541000,258.240000,5.690001,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796866.377381,94.541000,258.240000,5.690001,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796897.7726948,94.541000,258.240000,5.690001,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.92000
1630796929.128689,94.541000,258.240000,5.690001,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.93300
1630796960.4686816,94.541000,258.240000,5.690001,0.019090,3.536512,3010.20000,1.596100,16.15700,0.428900,114.114900,4.96500
1630796991.7966802,94.541000,258.240000,5.690001,0.019090,3.536512,3000.20000,1.596100,16.15700,0.428900,115.930000,4.96500
1630797023.2049696,94.541000,258.240000,5.690001,0.019090,3.536512,3000.20000,1.596100,16.15700,0.428900,115.930000,5.01900
1630797054.5486891,94.541000,258.240000,5.690001,0.019090,3.536512,3000.20000,1.596100,16.15700,0.428900,115.930000,5.01900
1630797085.9512682,94.541000,258.240000,5.690001,0.019090,3.536512,3000.20000,1.596100,16.15700,0.428900,115.930000,5.01900
1630797117.2966902,94.541000,258.240000,5.690001,0.019120,3.536512,3000.20000,1.596100,16.15700,0.428900,115.930000,5.01900
1630797148.6486864,94.541000,258.240000,5.690001,0.019120,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,5.01900
1630797180.0096433,94.541000,258.240000,5.690001,0.019120,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,5.01900
1630797211.407432,94.541000,258.240000,5.690001,0.019120,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,5.01900
1630797242.8818119,94.541000,258.240000,5.690001,0.019230,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.88900
1630797274.3246922,94.541000,258.240000,5.690001,0.019230,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.88900
1630797305.688694,94.541000,258.240000,5.690001,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.88600
1630797337.076679,94.541000,258.240000,5.688962,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.88600
1630797368.4126878,94.541000,258.240000,5.688962,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,115.930000,4.88600
1630797399.7894392,94.541000,258.240000,5.688962,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,116.920000,4.88600
1630797431.138134,94.541000,258.240000,5.688962,0.019250,3.536512,3000.20000,1.596100,16.16000,0.428900,116.920000,4.88600
